Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Koivuhovi	Björkgård	Kvh			Seisake	17+861	00675	Helsinki–Turku satama	Espoo					60.207144	24.701273
Koivukylä	Björkby	Kvy			Seisake	19+440	00559	Helsinki–Riihimäki	Vantaa					60.323284	25.059797
Kokemäki	Kumo	Kki			Liikennepaikka	284+442	00170	Lielahti–Kokemäki, Kokemäki–Rauma, Kokemäki–Pori	Kokemäki	K			K	61.254199	22.30335
Kokkola	Karleby	Kok			Liikennepaikka	551+441	00312	Kokkola–Ykspihlaja, Seinäjoki–Oulu	Kokkola	K		K	K	63.834429	23.131096
Kolari		Kli			Liikennepaikka	1067+206	00358	Tornio–Kolari	Kolari	K			K	67.348706	23.836254
Kolho		Klo			Seisake	286+265	00199	Orivesi–Seinäjoki	Mänttä-Vilppu					62.128049	24.507444
Kolppi	Kållby	Kpi			Liikennepaikka	525+100	00309	Seinäjoki–Oulu	Pedersören ku	K			K	63.62756	22.898299
Kommila		Kmm			Liikennepaikka	429+700	00500	Varkaus–Kommila	Varkaus			K	K	62.325423	27.887689
Komu		Kom			Linjavaihde	607+174	00758	Iisalmi–Ylivieska	Pyhäjärvi			K		63.663536	26.153932
Kontiolahti		Khi			Liikennepaikka	640+295	00463	Joensuu–Nurmes	Kontiolahti	K			K	62.732254	29.857039
Kontiomäki		Kon			Liikennepaikka	658+786	00390	Nurmes–Kontiomäki, Oulu–Kontiomäki,	Paltamo	K		K	K	64.338219	28.114694
Koria		Kra			Seisake	185+374	00478	Riihimäki–Kouvola	Kouvola					60.847067	26.60131
Korkeakoski		Kas			Liikennepaikka	247+910	00193	Orivesi–Seinäjoki	Juupajoki	K		K	K	61.807686	24.375464
Korso		Krs			Seisake	22+740	00019	Helsinki–Riihimäki	Vantaa					60.35129	25.078507
Korvensuo		Ksu			Liikennepaikka	50+500	01128	Kerava–Hakosilta	Mäntsälä	K				60.582687	25.218194
KOTKA		Kot			Osiin jaettu liikennepaikka	–	–	Kouvola–Kotka, Kotka Hovinsaari–Kotka Mussalo		M				#N/A	#N/A
Kotka Hovinsaari		Hos			Liikennepaikan osa (Kotka)	240+400	00980		Kotka			K	K	60.483022	26.919254
Kotka tavara		Ktt			Liikennepaikan osa (Kotka)	240+870	01130		Kotka				K	60.478803	26.919356
Paimenportti		Pti			Liikennepaikan osa (Kotka)	240+770	00768		Kotka					60.479685	26.919372
Kotka asema		Kta	Kotka		Liikennepaikan osa (Kotka)	242+775	00532		Kotka			K	K	60.464388	26.928611
Kotkan satama		Kts			Liikennepaikan osa (Kotka)	243+579	00644		Kotka			K	K	60.466492	26.934952
Kotolahti		Koo			Liikennepaikan osa (Kotka)	245+203	01329		Kotka			K	K	60.445244	26.898503
Kotka Mussalo		Mss			Liikennepaikan osa (Kotka)	247+057	00557		Kotka			K	K	60.431802	26.89751
KOUVOLA		Kvl			Osiin jaettu liikennepaikka	–	–	Riihimäki–Kouvola, Kouvola–Pieksämäki, Kouvola–Kotka,		M				#N/A	#N/A
Kouvola asema		Kv	Kouvola		Liikennepaikan osa	191+540	00480		Kouvola			K	K	60.865613	26.704588
Kouvola lajittelu		Kvla			Liikennepaikan osa	192+570	01132		Kouvola			K	K	60.865734	26.723643
Kouvola tavara		Kvt			Liikennepaikan osa	194+050	01134		Kouvola			K	K	60.86857	26.750447
Kouvola Oikoraide		Oik			Liikennepaikan osa	194+460	01133		Kouvola					60.86715	26.764691
Kullasvaara		Kuv			Liikennepaikan osa	197+300	01320		Kouvola				K	60.872249	26.809881
Kovjoki		Koi			Liikennepaikka	508+925	00745	Seinäjoki–Oulu	Uusikaarlepyy	K				63.521231	22.69252
Kruunupyy	Kronoby	Kpy			Liikennepaikka	537+585	00311	Seinäjoki–Oulu	Kruunupyy	K		K	K	63.7216	23.034045
Kuivasjärvi		Kis			Liikennepaikka	276+327	01137	Tampere–Seinäjoki	Parkano	K				62.174449	23.036413
KUOPIO		Kpo			Osiin jaettu liikennepaikka	–	–	Pieksämäki–Kontiomäki		M				#N/A	#N/A
Kuopio asema		Kuo	Kuopio		Liikennepaikan osa (Kuopio)	464+590	00408		Kuopio				K	62.897218	27.679581
